course, prereqs
MATH52,;
MATH97,;
MATH103,;
MATH104,;
MATH106,MATH103;
MATH114,;
MATH115,;
MATH116,;
MATH117,;
MATH118  MATH116 MATH117 MATH127 MATH137 MATH147;
MATH119, MATH116 MATH117 MATH127 MATH137 MATH147;
MATH124,;
MATH127,;
MATH128, MATH117 MATH127 MATH137 MATH147;
MATH135,;
MATH136,MATH135 MATH 145;
MATH137,;
MATH138,MATH116 MATH117 MATH127 MATH137 MATH147;
MATH145,;
MATH146,MATH145;
MATH147,;
MATH148,MATH147;
MATH199,;
MATH207,MATH128 MATH138 MATH148;
MATH211,MATH119; 
MATH212,MATH211;
MATH213,MATH119;
MATH215,;
MATH217,MATH118;
MATH218,MATH118 MATH119 MATH128 MATH138 MATH148;
MATH225,MATH106 MATH136 MATH146;
MATH227,MATH128 MATH138;
MATH228,MATH128 MATH138;
MATH229,MATH106 MATH136 MATH146, MATH135 MATH145;
MATH235,MATH106 MATH114 MATH115 MATH136 MATH146;
MATH237,MATH106 MATH114 MATH115 MATH136 MATH146,MATH128 MATH138 MATH148;
MATH239,MATH106 MATH136 MATH146, MATH135 MATH145;
MATH245,MATH146;
MATH247,MATH146 MATH148;
MATH249,MATH135 MATH145, MATH136 MATH146;